name,state,city,street,longitude,latitude,website_url,outdoor_,food_,dog_,games_,music_,tour_
10th District Brewing Company,Massachusetts,Abington,491 Washington St,-70.94594149,42.10591754,http://www.10thdistrictbrewing.com,No,Yes,No,No,No,No
3cross Fermentation Cooperative,Massachusetts,Worcester,4 Knowlton Ave,-71.83057593,42.24364875,http://www.3cross.coop,No,Yes,No,No,Yes,No
7th Wave Brewing,Massachusetts,Medfield,120 N Meadows Rd,-71.3282767101171,42.1935755,http://www.7thwavebrewing.com,Yes,Yes,No,Yes,No,No
Aeronaut Brewing Company,Massachusetts,Somerville,14 Tyler St,-71.1062676,42.3819723,http://www.aeronautbrewing.com,Yes,Yes,No,Yes,Yes,Yes
Amherst Brewing Co / Hangar Pub and Grill,Massachusetts,Amherst,10 University Dr,-72.5318418,42.3728635,http://www.amherstbrewing.com,No,Yes,No,Yes,Yes,No
Amorys Tomb Brewing Co,Massachusetts,Maynard,76 Main St,-71.45315644,42.43203845,http://amorystomb.com,No,Yes,No,No,No,No
Anawan Brewing Company,Massachusetts,Dighton,7 Park St,-71.128681,41.86512,http://www.anawanbrewingco.com,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bad Martha Farmer's Brewery,Massachusetts,Edgartown,270 Upper Main St,-70.52732,41.394402,http://www.badmarthabeer.com,Yes,Yes,Yes,No,Yes,No
BareWolf Brewing,Massachusetts,Amesbury,12 Oakland St,-70.92336518,42.85606929,http://www.barewolfbrewing.com,No,Yes,Yes,Yes,Yes,No
Barnstable Brewing,Massachusetts,Hyannis,485 W Main St,-70.31159594,41.64913517,http://www.barnstablebrewing.com,Yes,Yes,Yes,Yes,No,No
Barrel House Z,Massachusetts,Weymouth,95 Woodrock Rd,-70.9278014225444,42.1925308,http://www.barrelhousez.net,Yes,Yes,No,Yes,Yes,No
Barrington Brewery and Restaurant,Massachusetts,Great Barrington,420 Stockbridge Rd,-73.3437039,42.2133283,http://www.barringtonbrewery.net,Yes,Yes,Yes,No,No,Yes
Bent Water Brewing Company,Massachusetts,Lynn,180 Commercial St,-70.9574158257149,42.45664355,http://www.bentwaterbrewing.com,Yes,Yes,No,Yes,Yes,No
Berkley Beer Company,Massachusetts,Taunton,10 Ingell St,-71.0820209443733,41.89522385,http://www.berkleybeer.com,Yes,Yes,No,No,No,No
Berkshire Brewing Co Inc,Massachusetts,South Deerfield,12 Railroad St,-72.61025086,42.47779797,http://www.Berkshire-Brewing.com,Yes,Yes,No,Yes,Yes,Yes
Big Elm Brewing,Massachusetts,Sheffield,65 Silver St,-73.351236,42.093595,http://www.bigelmbrewery.com,Yes,No,Yes,Yes,No,Yes
Bog Iron Brewing Co,Massachusetts,Norton,33 W Main St,-71.18849942,41.96658468,,Yes,Yes,No,Yes,Yes,No
Bone Up Brewing Co.,Massachusetts,Everett,38 Norman St,-71.0663396,42.405551,http://www.boneup.beer,Yes,Yes,Yes,Yes,Yes,Yes
"Brew Practitioners, LLC.",Massachusetts,Florence,36 Main St,-72.66828595,42.334563,http://www.brewpractitioners.com,Yes,Yes,Yes,No,Yes,No
Brewery Silvaticus,Massachusetts,Amesbury,9 Water St,-70.9295559,42.8573815,http://www.silvaticusbeers.com,Yes,Yes,No,No,No,No
Brick and Feather Brewery,Massachusetts,Turners Falls,78 11th St,-72.564825,42.602503,http://www.brickandfeatherbrewery.com,Yes,Yes,Yes,No,No,No
Building 8 Brewing,Massachusetts,Florence,320 Riverside Dr,-72.665272,42.3202712,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
